Company,Job Title,Industry,Location,Employment Type,Experience Level,Remote Flexibility,Salary (Annual),Currency,Years of Experience,Job Satisfaction Score (1-10),Tech Stack,Perks,Last Promotion (Years Ago)
Tesla,Data Analyst,Education,Remote,Internship,Lead,Onsite,116124.15,GBP,8.2,6,"C#, .NET",Remote Stipend,2.97
Microsoft,Data Analyst,Finance,Chicago,Contract,Mid,Onsite,134155.24,AUD,14.8,7,"Java, Spring",Gym Membership,0.53
Microsoft,Product Manager,Finance,Remote,Part-time,Lead,Hybrid,96492.81,AUD,10.4,3,"Java, Spring",Stock Options,2.41
Meta,UX Designer,Tech,San Francisco,Part-time,Senior,Hybrid,88321.34,EUR,7.8,6,"R, Tableau",Stock Options,2.19
Adobe,Product Manager,Tech,Austin,Full-time,Entry,Remote,174360.6,USD,10.2,3,"C#, .NET",Health Insurance,2.58
Salesforce,Software Engineer,Healthcare,Remote,Internship,Lead,Remote,165618.48,EUR,2.8,7,"R, Tableau",Stock Options,3.69
Apple,UX Designer,Retail,Seattle,Internship,Entry,Onsite,66515.34,INR,11.3,2,"Go, Kubernetes",Stock Options,4.0
Salesforce,Software Engineer,Healthcare,Austin,Part-time,Lead,Remote,74600.08,GBP,7.9,6,"Go, Kubernetes",Gym Membership,3.06
IBM,Data Analyst,Healthcare,Austin,Internship,Mid,Onsite,150018.02,INR,13.8,10,"Python, SQL",Health Insurance,1.57
Apple,Product Manager,Tech,New York,Contract,Mid,Onsite,96038.76,AUD,2.1,7,"R, Tableau",Health Insurance,2.43
Salesforce,DevOps Engineer,Media,New York,Part-time,Lead,Hybrid,53850.41,INR,12.6,10,"Python, SQL",Flexible Hours,4.76
Adobe,Software Engineer,Finance,Boston,Internship,Lead,Hybrid,146398.43,GBP,10.7,8,"R, Tableau",Health Insurance,0.41
Google,Software Engineer,Healthcare,San Francisco,Contract,Mid,Onsite,79073.95,GBP,8.5,8,"Go, Kubernetes",Remote Stipend,0.57
Microsoft,Product Manager,Retail,Boston,Contract,Entry,Onsite,105032.32,EUR,14.8,2,"C#, .NET",Health Insurance,1.49
Google,UX Designer,Healthcare,Austin,Full-time,Lead,Remote,161857.38,EUR,3.1,10,"C#, .NET",Flexible Hours,4.31
IBM,DevOps Engineer,Education,New York,Part-time,Mid,Remote,166924.88,AUD,5.3,5,"Go, Kubernetes",Remote Stipend,0.84
Meta,Product Manager,Retail,Austin,Full-time,Mid,Hybrid,186190.68,INR,13.0,3,"C#, .NET",Health Insurance,1.25
Netflix,Software Engineer,Media,Seattle,Internship,Mid,Onsite,137508.34,GBP,5.6,2,"C#, .NET",Stock Options,2.01
Meta,DevOps Engineer,Healthcare,Seattle,Internship,Senior,Onsite,30420.42,USD,11.0,8,"C#, .NET",Flexible Hours,4.25
Salesforce,UX Designer,Finance,Seattle,Part-time,Lead,Hybrid,84887.08,INR,5.1,10,"JavaScript, React",Remote Stipend,4.26
Netflix,DevOps Engineer,Tech,San Francisco,Full-time,Lead,Remote,51120.32,EUR,6.6,1,"R, Tableau",Health Insurance,4.98
Amazon,DevOps Engineer,Healthcare,New York,Contract,Entry,Onsite,91274.02,USD,5.6,3,"Python, SQL",Gym Membership,3.13
Apple,UX Designer,Media,San Francisco,Full-time,Entry,Remote,111057.14,EUR,8.9,9,"C#, .NET",Gym Membership,0.05
Netflix,Data Analyst,Education,Chicago,Part-time,Lead,Remote,68920.97,USD,11.0,2,"Python, SQL",Flexible Hours,1.84
Meta,Software Engineer,Education,Boston,Part-time,Mid,Remote,120186.41,USD,9.2,3,"R, Tableau",Flexible Hours,3.61
Amazon,UX Designer,Retail,Chicago,Internship,Mid,Remote,182420.8,EUR,11.3,10,"C#, .NET",Gym Membership,1.76
Tesla,Product Manager,Finance,New York,Contract,Entry,Remote,124077.43,AUD,10.8,5,"C#, .NET",Stock Options,4.24
Meta,Software Engineer,Retail,Remote,Part-time,Lead,Hybrid,139848.86,EUR,7.4,2,"JavaScript, React",Gym Membership,3.19
Microsoft,Data Scientist,Tech,Austin,Contract,Mid,Hybrid,176338.38,AUD,6.3,9,"C#, .NET",Health Insurance,3.81
Microsoft,Data Analyst,Retail,San Francisco,Full-time,Senior,Remote,36770.57,USD,14.2,7,"Go, Kubernetes",Flexible Hours,3.14
Salesforce,UX Designer,Education,Chicago,Internship,Entry,Onsite,121216.02,AUD,2.3,2,"Java, Spring",Stock Options,2.56
Apple,Software Engineer,Retail,Austin,Internship,Entry,Hybrid,148774.9,EUR,0.9,2,"R, Tableau",Stock Options,2.27
IBM,Data Analyst,Healthcare,Chicago,Part-time,Entry,Remote,150343.1,USD,2.5,6,"Go, Kubernetes",Remote Stipend,3.91
Meta,Software Engineer,Healthcare,New York,Contract,Entry,Remote,86951.87,GBP,4.1,2,"Java, Spring",Remote Stipend,3.14
Adobe,UX Designer,Retail,Austin,Full-time,Lead,Onsite,58369.84,EUR,3.8,2,"Go, Kubernetes",Stock Options,1.14
Salesforce,Data Analyst,Tech,Boston,Full-time,Mid,Remote,110199.98,GBP,13.8,3,"Python, SQL",Remote Stipend,4.02
Tesla,Software Engineer,Healthcare,New York,Internship,Senior,Hybrid,170419.49,AUD,5.6,9,"C#, .NET",Stock Options,0.9
Salesforce,Data Analyst,Education,San Francisco,Internship,Senior,Hybrid,85641.16,AUD,6.9,6,"JavaScript, React",Flexible Hours,2.82
Meta,DevOps Engineer,Retail,New York,Internship,Senior,Onsite,195215.82,EUR,11.0,9,"JavaScript, React",Health Insurance,0.03
Tesla,Data Analyst,Finance,Remote,Contract,Entry,Hybrid,30248.55,GBP,12.7,5,"Python, SQL",Health Insurance,2.65
Apple,UX Designer,Education,San Francisco,Part-time,Senior,Remote,37463.05,EUR,13.5,9,"R, Tableau",Flexible Hours,2.29
Microsoft,Data Scientist,Tech,Remote,Part-time,Lead,Remote,130622.28,USD,6.5,3,"JavaScript, React",Flexible Hours,1.3
Netflix,UX Designer,Media,Boston,Contract,Senior,Hybrid,76232.5,USD,14.2,3,"Go, Kubernetes",Stock Options,0.78
Amazon,UX Designer,Education,Austin,Internship,Entry,Onsite,90908.87,EUR,6.8,8,"Java, Spring",Stock Options,0.45
Meta,DevOps Engineer,Media,Remote,Full-time,Mid,Hybrid,55215.05,EUR,14.5,7,"Go, Kubernetes",Stock Options,3.39
Meta,Software Engineer,Tech,Seattle,Internship,Mid,Remote,108547.35,EUR,1.8,1,"JavaScript, React",Health Insurance,0.99
Tesla,Product Manager,Media,Chicago,Full-time,Senior,Remote,33706.03,USD,3.0,8,"JavaScript, React",Stock Options,4.53
Netflix,Data Analyst,Tech,Seattle,Full-time,Mid,Onsite,103636.58,GBP,7.4,7,"C#, .NET",Gym Membership,0.86
Apple,Software Engineer,Healthcare,Austin,Internship,Mid,Remote,134398.12,AUD,3.7,5,"R, Tableau",Gym Membership,4.41
Adobe,Data Analyst,Tech,Austin,Internship,Mid,Hybrid,63907.83,AUD,3.7,9,"Python, SQL",Gym Membership,3.91
Netflix,UX Designer,Retail,Boston,Internship,Senior,Onsite,115406.85,GBP,4.1,1,"Java, Spring",Remote Stipend,1.1
Meta,Data Analyst,Education,Remote,Contract,Mid,Remote,47022.84,EUR,4.0,1,"JavaScript, React",Remote Stipend,4.23
Tesla,Product Manager,Finance,New York,Part-time,Senior,Onsite,148596.52,AUD,0.4,6,"Go, Kubernetes",Remote Stipend,0.71
Apple,UX Designer,Retail,Austin,Part-time,Lead,Remote,45343.75,EUR,9.0,1,"Go, Kubernetes",Gym Membership,0.0
IBM,Software Engineer,Finance,Austin,Part-time,Senior,Remote,33725.19,AUD,10.6,3,"Python, SQL",Remote Stipend,4.3
Microsoft,Product Manager,Media,Chicago,Internship,Entry,Hybrid,81300.08,EUR,14.6,7,"C#, .NET",Gym Membership,3.25
Amazon,DevOps Engineer,Retail,Chicago,Contract,Mid,Onsite,130121.53,EUR,5.7,5,"JavaScript, React",Health Insurance,3.64
IBM,UX Designer,Retail,San Francisco,Part-time,Senior,Onsite,67552.19,AUD,1.6,8,"JavaScript, React",Flexible Hours,3.73
Apple,Product Manager,Healthcare,New York,Full-time,Senior,Hybrid,31937.26,EUR,3.7,2,"Java, Spring",Flexible Hours,3.94
Google,Data Analyst,Education,Seattle,Internship,Mid,Hybrid,113823.94,GBP,5.3,7,"Python, SQL",Gym Membership,3.94
IBM,DevOps Engineer,Media,New York,Part-time,Lead,Remote,165863.08,USD,4.4,6,"Java, Spring",Stock Options,0.37
Amazon,UX Designer,Finance,Chicago,Full-time,Entry,Hybrid,130985.19,AUD,13.4,1,"R, Tableau",Health Insurance,3.04
Tesla,Software Engineer,Tech,San Francisco,Contract,Mid,Remote,99577.58,AUD,10.8,9,"Java, Spring",Flexible Hours,1.49
Microsoft,Data Analyst,Education,Remote,Internship,Mid,Remote,91340.92,GBP,1.3,10,"R, Tableau",Health Insurance,0.48
Apple,Software Engineer,Media,Austin,Full-time,Lead,Remote,82420.08,GBP,7.1,5,"Python, SQL",Remote Stipend,1.94
Netflix,UX Designer,Healthcare,New York,Internship,Entry,Hybrid,104755.87,INR,3.4,5,"Go, Kubernetes",Stock Options,0.76
Microsoft,Data Analyst,Media,Austin,Internship,Mid,Onsite,40367.24,GBP,12.3,7,"Go, Kubernetes",Gym Membership,2.86
Apple,UX Designer,Healthcare,San Francisco,Internship,Entry,Onsite,127107.39,AUD,12.0,10,"JavaScript, React",Stock Options,4.75
Adobe,Software Engineer,Finance,New York,Part-time,Mid,Remote,101973.73,GBP,3.0,3,"Go, Kubernetes",Flexible Hours,1.6
Microsoft,Data Analyst,Education,Remote,Internship,Senior,Hybrid,118346.99,USD,11.8,10,"Go, Kubernetes",Remote Stipend,3.91
Microsoft,UX Designer,Finance,New York,Full-time,Entry,Onsite,162522.6,INR,13.0,6,"R, Tableau",Flexible Hours,1.92
Adobe,Data Scientist,Retail,Seattle,Full-time,Mid,Hybrid,98505.57,AUD,9.1,7,"Python, SQL",Gym Membership,4.45
Netflix,DevOps Engineer,Finance,San Francisco,Internship,Senior,Hybrid,33439.59,INR,4.7,8,"C#, .NET",Stock Options,4.86
Apple,Software Engineer,Healthcare,Chicago,Internship,Senior,Hybrid,153895.9,AUD,9.7,4,"R, Tableau",Health Insurance,4.57
Tesla,DevOps Engineer,Education,Boston,Contract,Entry,Onsite,164553.37,USD,4.7,9,"R, Tableau",Health Insurance,3.9
Salesforce,Data Scientist,Tech,New York,Part-time,Mid,Remote,72413.34,GBP,0.8,6,"C#, .NET",Health Insurance,1.37
Adobe,Data Scientist,Education,Chicago,Full-time,Entry,Remote,93319.35,AUD,6.7,8,"Go, Kubernetes",Remote Stipend,1.75
Amazon,Product Manager,Media,Boston,Full-time,Senior,Remote,95716.16,EUR,12.8,4,"JavaScript, React",Health Insurance,3.39
Meta,DevOps Engineer,Education,Remote,Full-time,Entry,Hybrid,184957.62,EUR,9.0,1,"JavaScript, React",Flexible Hours,3.04
Meta,DevOps Engineer,Media,Chicago,Contract,Lead,Hybrid,174769.65,GBP,3.8,8,"Java, Spring",Remote Stipend,4.12
Tesla,Data Scientist,Tech,San Francisco,Contract,Senior,Hybrid,146350.23,GBP,1.0,5,"C#, .NET",Flexible Hours,4.31
Meta,DevOps Engineer,Media,Chicago,Contract,Mid,Remote,117939.91,EUR,13.5,10,"R, Tableau",Flexible Hours,3.4
Google,DevOps Engineer,Education,Austin,Contract,Lead,Hybrid,96006.74,USD,8.7,10,"JavaScript, React",Flexible Hours,3.63
Apple,DevOps Engineer,Retail,Chicago,Internship,Senior,Onsite,81033.12,EUR,12.6,9,"JavaScript, React",Flexible Hours,0.49
Amazon,DevOps Engineer,Healthcare,Chicago,Part-time,Senior,Onsite,45180.97,INR,3.3,5,"R, Tableau",Flexible Hours,1.86
IBM,Product Manager,Education,Boston,Full-time,Lead,Remote,177286.87,AUD,8.7,10,"Python, SQL",Gym Membership,4.45
Salesforce,Data Analyst,Media,Seattle,Contract,Lead,Remote,178044.35,EUR,2.1,4,"Java, Spring",Gym Membership,4.94
Adobe,Software Engineer,Healthcare,Boston,Part-time,Entry,Hybrid,86547.01,EUR,4.7,1,"Python, SQL",Gym Membership,1.37
Amazon,Data Scientist,Finance,Seattle,Full-time,Mid,Onsite,103730.94,GBP,6.1,8,"R, Tableau",Stock Options,0.19
Apple,DevOps Engineer,Healthcare,San Francisco,Contract,Mid,Remote,145047.18,EUR,3.4,6,"Java, Spring",Health Insurance,0.51
Salesforce,Data Scientist,Healthcare,New York,Full-time,Entry,Hybrid,191238.77,GBP,10.9,10,"Go, Kubernetes",Flexible Hours,2.17
Amazon,Product Manager,Education,Austin,Part-time,Mid,Hybrid,33251.2,EUR,10.9,3,"JavaScript, React",Stock Options,2.95
Amazon,Data Analyst,Healthcare,Chicago,Full-time,Lead,Onsite,73484.16,AUD,9.3,10,"Python, SQL",Stock Options,3.27
Google,Data Analyst,Media,San Francisco,Internship,Lead,Hybrid,51011.16,INR,7.1,3,"JavaScript, React",Stock Options,1.51
Microsoft,DevOps Engineer,Retail,Austin,Part-time,Lead,Remote,116969.41,AUD,1.8,2,"Python, SQL",Gym Membership,0.99
Apple,Product Manager,Retail,New York,Contract,Lead,Hybrid,57263.51,AUD,7.4,4,"C#, .NET",Gym Membership,1.65
Google,Data Analyst,Media,San Francisco,Full-time,Lead,Remote,191405.82,AUD,1.1,2,"Java, Spring",Health Insurance,2.28
Meta,Product Manager,Education,San Francisco,Full-time,Mid,Remote,174882.28,INR,12.0,6,"R, Tableau",Stock Options,0.47
Google,Data Analyst,Finance,Chicago,Part-time,Senior,Hybrid,182069.69,AUD,4.0,2,"Java, Spring",Flexible Hours,0.91
Tesla,UX Designer,Education,Austin,Internship,Lead,Hybrid,140303.9,EUR,1.7,1,"JavaScript, React",Stock Options,2.08
IBM,UX Designer,Retail,Chicago,Internship,Mid,Onsite,94557.63,INR,9.2,3,"R, Tableau",Gym Membership,0.56
Tesla,UX Designer,Tech,San Francisco,Contract,Senior,Remote,149776.59,AUD,11.5,10,"C#, .NET",Remote Stipend,1.12
Netflix,Data Scientist,Retail,Chicago,Full-time,Lead,Onsite,153530.83,GBP,5.2,7,"JavaScript, React",Remote Stipend,4.46
IBM,Data Analyst,Tech,Chicago,Part-time,Lead,Hybrid,177800.66,USD,11.3,6,"JavaScript, React",Flexible Hours,4.85
Google,Data Scientist,Finance,Remote,Internship,Lead,Remote,43401.2,GBP,12.0,8,"Python, SQL",Gym Membership,2.24
Microsoft,UX Designer,Media,Chicago,Full-time,Entry,Hybrid,100097.55,AUD,8.2,2,"Go, Kubernetes",Remote Stipend,3.19
Salesforce,Data Scientist,Finance,Chicago,Internship,Senior,Hybrid,170302.87,EUR,12.7,6,"Go, Kubernetes",Remote Stipend,3.0
Netflix,DevOps Engineer,Education,San Francisco,Full-time,Mid,Remote,88030.71,INR,8.2,6,"C#, .NET",Stock Options,0.23
Amazon,UX Designer,Finance,Boston,Internship,Entry,Hybrid,133844.8,EUR,1.8,7,"JavaScript, React",Gym Membership,4.12
Apple,DevOps Engineer,Healthcare,San Francisco,Internship,Entry,Onsite,172369.26,AUD,1.8,8,"R, Tableau",Remote Stipend,4.78
Amazon,UX Designer,Tech,Remote,Full-time,Lead,Onsite,112098.43,AUD,11.7,3,"C#, .NET",Remote Stipend,0.87
Amazon,Data Analyst,Education,Chicago,Contract,Lead,Hybrid,196515.13,EUR,4.1,6,"Java, Spring",Gym Membership,4.02
Amazon,UX Designer,Retail,Chicago,Contract,Senior,Onsite,155259.17,AUD,9.5,4,"JavaScript, React",Remote Stipend,3.57
Netflix,DevOps Engineer,Finance,Chicago,Part-time,Senior,Onsite,49618.89,INR,8.4,10,"Go, Kubernetes",Gym Membership,3.37
Salesforce,Product Manager,Education,Boston,Full-time,Entry,Remote,94747.95,USD,10.1,4,"Java, Spring",Health Insurance,4.92
Meta,Software Engineer,Tech,Chicago,Contract,Mid,Onsite,35492.09,GBP,1.5,9,"JavaScript, React",Remote Stipend,1.94
Salesforce,DevOps Engineer,Healthcare,Chicago,Full-time,Lead,Hybrid,100816.26,INR,14.5,1,"Python, SQL",Flexible Hours,1.02
Adobe,Software Engineer,Media,Chicago,Contract,Mid,Onsite,193929.27,INR,6.7,2,"JavaScript, React",Health Insurance,3.68
Microsoft,UX Designer,Tech,Seattle,Contract,Senior,Remote,57357.9,INR,0.1,8,"C#, .NET",Health Insurance,0.2
Netflix,Data Scientist,Tech,Boston,Contract,Lead,Onsite,123527.23,USD,11.8,6,"Go, Kubernetes",Health Insurance,4.78
Salesforce,Data Analyst,Retail,New York,Internship,Lead,Remote,89398.5,EUR,10.0,6,"Java, Spring",Flexible Hours,1.09
IBM,Data Scientist,Education,Remote,Full-time,Entry,Onsite,88821.24,EUR,13.6,10,"Go, Kubernetes",Health Insurance,4.79
Netflix,UX Designer,Tech,Seattle,Contract,Senior,Remote,184927.11,INR,7.7,9,"R, Tableau",Gym Membership,0.22
Apple,Product Manager,Retail,San Francisco,Full-time,Mid,Onsite,120644.99,USD,3.2,4,"C#, .NET",Gym Membership,4.18
Apple,Data Scientist,Media,Chicago,Internship,Entry,Onsite,146627.4,USD,6.9,6,"Python, SQL",Stock Options,0.37
Amazon,Product Manager,Retail,San Francisco,Part-time,Senior,Hybrid,95965.54,GBP,6.5,1,"R, Tableau",Stock Options,2.67
IBM,Data Analyst,Media,Remote,Full-time,Entry,Hybrid,187768.12,USD,4.3,5,"Go, Kubernetes",Stock Options,1.41
Adobe,UX Designer,Education,Boston,Full-time,Lead,Remote,120689.52,EUR,11.2,9,"Java, Spring",Health Insurance,1.49
Netflix,Data Analyst,Retail,Boston,Part-time,Entry,Remote,30855.07,AUD,5.9,9,"Python, SQL",Flexible Hours,1.05
Netflix,Software Engineer,Education,Chicago,Part-time,Mid,Remote,67533.95,INR,2.9,3,"C#, .NET",Remote Stipend,4.26
Salesforce,UX Designer,Media,Remote,Full-time,Senior,Onsite,41451.67,USD,3.0,10,"R, Tableau",Flexible Hours,1.79
Apple,Data Analyst,Healthcare,Remote,Full-time,Mid,Hybrid,112596.41,INR,9.2,5,"C#, .NET",Remote Stipend,0.76
IBM,Product Manager,Healthcare,Seattle,Part-time,Entry,Hybrid,71849.77,EUR,10.7,7,"Java, Spring",Flexible Hours,0.67
Netflix,UX Designer,Education,Seattle,Contract,Senior,Hybrid,123784.21,EUR,9.7,2,"Java, Spring",Health Insurance,4.46
Apple,Product Manager,Media,Chicago,Full-time,Entry,Remote,174429.84,USD,12.2,10,"R, Tableau",Remote Stipend,1.06
Google,Data Scientist,Healthcare,Remote,Internship,Mid,Hybrid,96724.72,AUD,11.0,5,"JavaScript, React",Gym Membership,2.51
Microsoft,UX Designer,Healthcare,Remote,Full-time,Mid,Onsite,146307.48,AUD,2.1,3,"JavaScript, React",Remote Stipend,4.74
Amazon,DevOps Engineer,Media,Seattle,Contract,Entry,Remote,159450.3,EUR,0.9,6,"JavaScript, React",Stock Options,3.34
Salesforce,Product Manager,Education,Seattle,Internship,Entry,Remote,196700.26,INR,1.5,9,"C#, .NET",Flexible Hours,4.17
Meta,Data Scientist,Retail,Remote,Part-time,Lead,Onsite,94348.15,AUD,9.8,2,"Go, Kubernetes",Flexible Hours,1.88
Apple,Data Scientist,Education,Austin,Contract,Lead,Hybrid,180819.23,USD,7.5,3,"R, Tableau",Health Insurance,1.15
Salesforce,DevOps Engineer,Healthcare,New York,Part-time,Mid,Remote,91577.9,USD,9.9,7,"Java, Spring",Stock Options,2.41
Adobe,UX Designer,Finance,Remote,Part-time,Lead,Remote,71423.95,EUR,8.6,3,"JavaScript, React",Remote Stipend,0.2
IBM,Software Engineer,Tech,New York,Contract,Mid,Onsite,192900.52,AUD,14.5,1,"C#, .NET",Flexible Hours,4.74
Apple,UX Designer,Retail,Seattle,Internship,Mid,Remote,171161.81,AUD,2.1,10,"JavaScript, React",Remote Stipend,3.3
Meta,Software Engineer,Media,Chicago,Contract,Lead,Onsite,130401.32,EUR,5.7,3,"Python, SQL",Stock Options,1.01
Salesforce,DevOps Engineer,Education,Boston,Part-time,Entry,Remote,110897.76,AUD,9.0,9,"Go, Kubernetes",Stock Options,0.47
Amazon,Data Scientist,Retail,Boston,Full-time,Lead,Onsite,101516.28,USD,10.5,7,"JavaScript, React",Gym Membership,3.95
Tesla,Product Manager,Retail,Boston,Full-time,Lead,Remote,73268.06,EUR,13.7,2,"Java, Spring",Remote Stipend,4.38
Tesla,Product Manager,Finance,San Francisco,Full-time,Entry,Onsite,31222.99,EUR,10.3,6,"R, Tableau",Flexible Hours,0.53
Tesla,DevOps Engineer,Retail,Austin,Contract,Lead,Onsite,92159.5,INR,14.9,7,"JavaScript, React",Gym Membership,2.76
Salesforce,UX Designer,Finance,Austin,Internship,Senior,Hybrid,128200.7,GBP,11.0,2,"C#, .NET",Health Insurance,2.23
Amazon,Data Analyst,Finance,Remote,Internship,Senior,Onsite,134384.31,USD,2.4,1,"Python, SQL",Health Insurance,2.36
IBM,UX Designer,Tech,San Francisco,Contract,Mid,Hybrid,43606.76,USD,10.9,7,"Go, Kubernetes",Remote Stipend,1.43
IBM,Data Analyst,Finance,Chicago,Internship,Lead,Remote,64290.23,AUD,4.3,1,"Go, Kubernetes",Remote Stipend,2.58
Apple,Data Scientist,Finance,Chicago,Full-time,Senior,Remote,141353.25,EUR,1.3,5,"R, Tableau",Flexible Hours,3.35
Tesla,Data Scientist,Finance,Remote,Full-time,Entry,Remote,123430.75,AUD,13.7,6,"Java, Spring",Flexible Hours,1.13
Apple,UX Designer,Education,Remote,Full-time,Senior,Remote,99212.89,USD,8.4,9,"Java, Spring",Flexible Hours,4.74
Salesforce,Product Manager,Retail,Boston,Contract,Lead,Hybrid,125738.66,EUR,11.4,8,"C#, .NET",Gym Membership,4.48
Google,UX Designer,Tech,Austin,Full-time,Lead,Onsite,164071.52,EUR,10.2,4,"Java, Spring",Gym Membership,4.78
Salesforce,Data Scientist,Tech,Chicago,Contract,Mid,Hybrid,45811.6,INR,1.1,3,"R, Tableau",Flexible Hours,1.77
IBM,Product Manager,Finance,Chicago,Part-time,Lead,Onsite,63943.31,EUR,13.1,4,"JavaScript, React",Health Insurance,4.17
IBM,Product Manager,Finance,Boston,Full-time,Entry,Remote,144888.06,GBP,9.2,9,"Python, SQL",Gym Membership,1.86
Netflix,UX Designer,Retail,Boston,Contract,Lead,Remote,197347.1,AUD,4.2,4,"Go, Kubernetes",Health Insurance,0.27
Tesla,UX Designer,Retail,San Francisco,Contract,Lead,Onsite,161903.67,GBP,14.6,9,"R, Tableau",Flexible Hours,3.45
Google,DevOps Engineer,Finance,Seattle,Full-time,Senior,Hybrid,134172.28,INR,2.8,5,"JavaScript, React",Flexible Hours,2.36
IBM,Product Manager,Healthcare,New York,Internship,Lead,Remote,101245.8,INR,5.5,7,"Java, Spring",Gym Membership,0.9
Amazon,Data Scientist,Media,New York,Full-time,Senior,Remote,124407.81,GBP,2.9,3,"R, Tableau",Stock Options,0.88
Adobe,Software Engineer,Media,Remote,Contract,Lead,Hybrid,72665.59,AUD,0.7,2,"C#, .NET",Health Insurance,0.3
Meta,UX Designer,Media,San Francisco,Internship,Senior,Hybrid,91363.54,AUD,8.4,5,"Java, Spring",Stock Options,2.06
Netflix,DevOps Engineer,Retail,New York,Part-time,Senior,Hybrid,85265.35,AUD,7.3,8,"Python, SQL",Gym Membership,3.07
Adobe,DevOps Engineer,Finance,Boston,Part-time,Senior,Hybrid,137316.48,AUD,6.1,2,"Python, SQL",Health Insurance,1.72
Netflix,Product Manager,Media,Austin,Contract,Lead,Hybrid,180907.61,INR,11.2,9,"R, Tableau",Gym Membership,0.84
Google,Software Engineer,Media,New York,Contract,Entry,Remote,58374.78,USD,1.4,8,"Go, Kubernetes",Stock Options,0.13
Tesla,Data Scientist,Tech,San Francisco,Contract,Mid,Remote,141321.55,GBP,4.6,4,"C#, .NET",Flexible Hours,2.22
Amazon,Software Engineer,Retail,Boston,Part-time,Entry,Remote,142803.35,INR,13.0,8,"Go, Kubernetes",Flexible Hours,2.74
Amazon,DevOps Engineer,Retail,New York,Internship,Lead,Onsite,138763.71,AUD,4.6,6,"R, Tableau",Remote Stipend,1.14
Microsoft,UX Designer,Healthcare,Austin,Internship,Senior,Remote,81607.4,USD,7.8,3,"Java, Spring",Flexible Hours,2.35
Google,DevOps Engineer,Education,Boston,Internship,Senior,Remote,160197.76,INR,9.0,1,"Go, Kubernetes",Flexible Hours,0.94
Salesforce,UX Designer,Education,New York,Part-time,Lead,Hybrid,67500.71,USD,6.3,4,"Go, Kubernetes",Remote Stipend,4.04
Meta,Product Manager,Media,Chicago,Contract,Lead,Remote,175091.94,EUR,2.0,2,"C#, .NET",Gym Membership,3.09
Meta,DevOps Engineer,Retail,Seattle,Part-time,Senior,Remote,55865.38,AUD,0.3,2,"Java, Spring",Flexible Hours,0.63
Adobe,DevOps Engineer,Tech,New York,Full-time,Mid,Remote,113908.52,INR,6.3,8,"Java, Spring",Gym Membership,3.48
Google,Product Manager,Tech,Boston,Part-time,Entry,Hybrid,161860.99,USD,8.1,3,"JavaScript, React",Flexible Hours,4.09
Google,Data Analyst,Media,New York,Internship,Lead,Remote,155395.23,USD,3.0,2,"Go, Kubernetes",Health Insurance,2.36
Meta,Product Manager,Finance,Chicago,Full-time,Entry,Hybrid,111809.03,INR,3.0,1,"C#, .NET",Health Insurance,4.87
Apple,DevOps Engineer,Education,Austin,Full-time,Mid,Hybrid,129398.47,GBP,11.8,1,"Python, SQL",Remote Stipend,3.92
Adobe,DevOps Engineer,Retail,New York,Contract,Entry,Remote,56808.74,USD,10.3,6,"C#, .NET",Stock Options,0.3
Amazon,DevOps Engineer,Retail,Boston,Full-time,Mid,Hybrid,69554.69,AUD,11.8,6,"R, Tableau",Health Insurance,0.11
Tesla,Product Manager,Media,New York,Contract,Entry,Hybrid,150126.42,AUD,4.4,8,"JavaScript, React",Remote Stipend,0.93
Netflix,Product Manager,Media,Seattle,Contract,Mid,Remote,120293.36,GBP,4.4,5,"Go, Kubernetes",Flexible Hours,2.27
Salesforce,UX Designer,Media,New York,Full-time,Senior,Onsite,70593.71,USD,9.9,9,"R, Tableau",Health Insurance,2.62
Adobe,Data Scientist,Finance,Remote,Contract,Senior,Hybrid,138953.67,USD,1.4,2,"Python, SQL",Health Insurance,0.89
Google,Software Engineer,Tech,Seattle,Part-time,Entry,Remote,127072.07,GBP,9.9,9,"Go, Kubernetes",Remote Stipend,1.28
Netflix,Software Engineer,Retail,Chicago,Full-time,Entry,Remote,141477.39,USD,7.0,1,"Java, Spring",Remote Stipend,3.72
Tesla,Product Manager,Media,San Francisco,Contract,Entry,Onsite,41965.98,INR,1.2,4,"Go, Kubernetes",Stock Options,0.51
Apple,Data Scientist,Education,New York,Part-time,Mid,Onsite,136305.26,EUR,8.4,9,"R, Tableau",Stock Options,3.83
IBM,Product Manager,Media,Seattle,Internship,Entry,Remote,164718.47,AUD,6.0,6,"C#, .NET",Health Insurance,2.67
IBM,UX Designer,Healthcare,Austin,Contract,Senior,Hybrid,159911.34,GBP,12.4,6,"Go, Kubernetes",Health Insurance,2.82
Apple,UX Designer,Retail,Chicago,Contract,Senior,Hybrid,106074.96,GBP,0.0,1,"Java, Spring",Remote Stipend,0.08
Amazon,Product Manager,Tech,Austin,Part-time,Mid,Hybrid,33689.23,INR,13.8,9,"Go, Kubernetes",Remote Stipend,4.63
Amazon,Data Analyst,Tech,Seattle,Contract,Mid,Remote,75047.99,AUD,3.7,5,"Java, Spring",Stock Options,2.85
IBM,Software Engineer,Media,San Francisco,Contract,Lead,Remote,113006.99,AUD,12.3,2,"Go, Kubernetes",Flexible Hours,0.19
IBM,UX Designer,Tech,Boston,Full-time,Senior,Hybrid,179564.73,GBP,6.2,2,"JavaScript, React",Remote Stipend,4.64
